Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
04-Dec-2008,6.33,0,2.84,0.87,0.73,1.57,0.21,0.33,1.13
05-Dec-2008,7.6,0,2.52,0.72,0.29,0.95,0.41,0.78,1.78
06-Dec-2008,3.95,0,2.75,1.83,0.73,1.66,0.18,0.34,0.62
07-Dec-2008,4.35,0,2.33,1.78,1.02,2.11,0.08,0.33,0.28
08-Dec-2008,4.38,0,1.71,1.8,1.18,2.58,0.16,0.24,0.8
09-Dec-2008,4.87,0,1.22,1.67,0.44,2.79,0.08,0.43,0.56
10-Dec-2008,5.12,0,1.72,0.54,0.52,1.28,0.35,0.72,0.64
11-Dec-2008,3.35,0,1.42,1.56,1.32,2.32,0.43,0.28,0.59
12-Dec-2008,3.59,0,1.67,0.58,0.3,0.64,0.11,0.76,1.09
13-Dec-2008,4.83,0,1.68,2.56,0.58,3.21,0.2,0.84,2.28
14-Dec-2008,4.9,0,2.64,0.69,0.55,1.36,0.26,0.49,0.94
15-Dec-2008,2.76,0,1.46,3,2.8,3.25,0.04,0.36,0.48
16-Dec-2008,4.64,0,0.8,1.77,1.6,2.47,0.64,0.57,0.82
17-Dec-2008,10.67,0,1.38,2.35,1.75,2.86,0.15,0.4,0.6
18-Dec-2008,5.13,0,1.81,2.67,2.34,3.4,0.32,0.56,0.77
19-Dec-2008,5.55,0,3.19,1.49,0.64,2,0.18,0.69,0.76
20-Dec-2008,5.22,0,1.68,2.19,1.7,2.41,0.18,1.1,0.44
21-Dec-2008,6.13,0,1.71,1.15,1.02,1.5,0.62,1.14,1.62
22-Dec-2008,7.02,0,2.52,0.86,0.35,1.54,0.15,1.46,1.23
23-Dec-2008,7.55,0,2,1.18,0.96,1.74,1.15,1.99,1.74
24-Dec-2008,6.24,0,1.28,0.75,0.54,0.99,0.13,1.1,0.83
25-Dec-2008,5.38,0,2.22,0.74,0.55,1.63,0.46,0.38,1.42
26-Dec-2008,5.69,0,1.85,0.82,0.55,1.48,0.48,0.71,1.03
27-Dec-2008,5.63,0,1.57,1.33,0.92,2.08,0.21,0.56,1.72
28-Dec-2008,8.62,0,1.87,1.31,1.09,2.89,0.56,0.84,0.93
29-Dec-2008,5.9,0,1.66,2.3,1.82,3,0.48,0.79,0.49
30-Dec-2008,5.97,0,1.55,1.21,1.89,1.92,0.83,0.86,1.4
01-Jan-2009,15.57,0,1.8,1.85,0.89,2.25,0.51,0.27,1.22
02-Jan-2009,6.72,0,1.69,0.55,0.38,1.26,0.31,0.83,2.2
